"","crop","country","ac1","cv","Ha","d","dip.p","pollination_syndrome","sp_latin"
"71","Citrus","Argentina",0.000126225864332806,0.0977201773845759,35561.2820512821,0.0457012154090929,0.803948963496985,"Insect","Citrus_limon"
"72","Citrus","China, mainland",0.146541778312528,0.597565421963775,35048.9482758621,0.0301966666372371,0.983544801645566,"Insect","Citrus_limon"
"73","Citrus","Italy",-0.135250555215276,0.0844900896789545,33286.1206896552,0.0354601107127017,0.891036266007492,"Insect","Citrus_limon"
"74","Citrus","Spain",0.00335133075841394,0.154942028857047,34507.7413793103,0.0378907888042873,0.812961601220415,"Insect","Citrus_limon"
"75","Citrus","Brazil",0.227763588108431,0.074415218864844,32540.9137931034,0.0273710332702945,0.992209559493676,"Insect","Citrus_limon"
"76","Citrus","Turkey",-0.118211571718217,0.138886137474177,15927.0689655172,0.0434084730754376,0.589796451328853,"Insect","Citrus_limon"
"77","Citrus","Iran (Islamic Republic of)",-0.0346106690327896,0.0935700039323606,18441.5689655172,0.0384471196289808,0.793934620523145,"Insect","Citrus_limon"
"78","Coffee","Brazil",-0.398981351901687,0.15147458117108,2449877.0862069,0.0377521394579206,0.817415091494591,"Insect","Coffea_arabica"
"79","Coffee","Colombia",0.231221553601122,0.118951234536318,855499.551724138,0.0284208168902255,0.991017892271487,"Insect","Coffea_arabica"
"80","Coffee","Viet Nam",0.210854465524658,0.135023359213571,205674.103448276,0.0319610203389477,0.962864109787576,"Insect","Coffea_arabica"
"81","Coffee","Indonesia",0.214274291917124,0.0568305105246985,756896.172413793,0.0256059516197462,0.994213200917975,"Insect","Coffea_arabica"
"82","Coffee","Mexico",-0.110714049762096,0.0972944463041556,570702.431034483,0.0366420337613893,0.853072273099567,"Insect","Coffea_arabica"
"83","Coffee","Ethiopia",0.0620422649530193,0.100216001066322,439197.465517241,0.0454295189813079,0.505062676880303,"Insect","Coffea_arabica"
"84","Coffee","Côte d'Ivoire",-0.185818876440501,0.227365966891984,772257.810344828,0.0330708859862882,0.946727741142336,"Insect","Coffea_arabica"
"85","Coffee","Guatemala",0.114867256644793,0.0568256718084177,251529.068965517,0.0302882053800267,0.98287267499806,"Insect","Coffea_arabica"
